0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0.0121,0.0086,0.0069,0.0052,0.0035,0.0035,0.0035,0.0052,0.0069,0.0086,0.0121,0.0121,0.0121,0.0121,0.0121,0.0121,0.0086,0.0069,0.0052,0.0035,0.0017,0.0017,0.0035,0.0052,0.0088,0.0123,0.0159,0.016,0.0437,0.0715,0.0017,0.1231,0.1489,0.1765,0.1487,0.1227,0.0951,0.0674,0.0398,0.0121,0.0017,0.0017
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276,0.0,0.0829,0.1106,0.1382,0.1659,0.1382,0.1106,0.0829,0.0553,0.0276,0.0,0.0
0.0242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0484,0.0726,0.0968,0.121,0.1452,0.121,0.0968,0.0726,0.0484,0.0,0.0
0.0553,0.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276,0.0553,0.0829,0.1106,0.1382,0.1659,0.1382,0.1106,0.0829,0.0,0.0
0.0933,0.0639,0.0346,0.0052,0.0035,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276,0.0553,0.0829,0.1123,0.1417,0.1711,0.1452,0.1192,0.0,0.0
0.121,0.0916,0.0622,0.0328,0.0035,0.0017,0.0,0.0,0.0,0.0,0.0017,0.0035,0.0052,0.0069,0.0086,0.0104,0.0086,0.0069,0.0052,0.0035,0.0017,0.0,0.0,0.0,0.0052,0.0104,0.0156,0.0207,0.0259,0.0311,0.0017,0.0207,0.0156,0.038,0.0605,0.0847,0.1141,0.1434,0.1728,0.1469,0.0017,0.0017
0.1382,0.1106,0.0829,0.0553,0.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276,0.0553,0.0829,0.1106,0.1382,0.1659,0.0,0.0
0.0622,0.0518,0.0415,0.0311,0.0207,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104,0.0207,0.0311,0.0415,0.0518,0.0,0.0
0.1382,0.1659,0.1382,0.1106,0.0829,0.0553,0.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276,0.0553,0.0829,0.1106,0.0,0.0
0.1106,0.1382,0.1659,0.1382,0.1106,0.0829,0.0553,0.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276,0.0553,0.0829,0.0,0.0
0.0972,0.1231,0.149,0.1749,0.1456,0.1162,0.0868,0.0592,0.0315,0.0039,0.0056,0.0073,0.0091,0.0108,0.0125,0.0142,0.0125,0.0108,0.0091,0.0073,0.0056,0.0039,0.0039,0.0039,0.0056,0.0073,0.0091,0.0108,0.0125,0.0142,0.0056,0.0108,0.0091,0.0073,0.0056,0.0056,0.0073,0.0091,0.0384,0.0678,0.0017,0.8351
0.0657,0.0916,0.1175,0.1434,0.1694,0.14,0.1106,0.083,0.0553,0.0277,0.0017,0.0035,0.0052,0.0069,0.0086,0.0104,0.0086,0.0069,0.0052,0.0035,0.0017,0.0,0.0,0.0,0.0017,0.0035,0.0052,0.0069,0.0086,0.0104,0.0017,0.0069,0.0052,0.0035,0.0017,0.0017,0.0035,0.0052,0.0069,0.0363,0.0017,0.0017
0.0381,0.0641,0.09,0.1159,0.1418,0.1678,0.1384,0.1107,0.0831,0.0554,0.0278,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0019,0.0036,0.0053,0.007,0.0088,0.0105,0.0279,0.007,0.0053,0.0036,0.0019,0.0019,0.0036,0.0053,0.007,0.0088,0.0278,0.0278
0.0,0.0276,0.0553,0.0829,0.1106,0.1382,0.1659,0.1382,0.1106,0.0829,0.0553,0.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0001,0.0001,0.0278,0.0554,0.0831,0.1107,0.1384,0.166,0.1384,0.1107,0.0831,0.0554,0.0278,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0279,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0278,0.0278
