1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0.0121,0.0,0.0242,0.0553,0.0933,0.121,0.1382,0.0622,0.1382,0.1106,0.0997,0.0657,0.038,0.0,0.0,0.0207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104
0.0086,0.0,0.0,0.0276,0.0639,0.0916,0.1106,0.0518,0.1659,0.1382,0.1239,0.0916,0.0639,0.0276,0.0,0.0173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0086
0.0069,0.0,0.0,0.0,0.0346,0.0622,0.0829,0.0415,0.1382,0.1659,0.1498,0.1175,0.0899,0.0553,0.0276,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069
0.0052,0.0,0.0,0.0,0.0052,0.0328,0.0553,0.0311,0.1106,0.1382,0.1757,0.1434,0.1158,0.0829,0.0553,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052
0.0035,0.0,0.0,0.0,0.0035,0.0035,0.0276,0.0207,0.0829,0.1106,0.1463,0.1694,0.1417,0.1106,0.0829,0.0622,0.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035
0.0035,0.0,0.0,0.0,0.0017,0.0017,0.0,0.0104,0.0553,0.0829,0.1187,0.14,0.1676,0.1382,0.1106,0.0864,0.0553,0.0242,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017
0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276,0.0553,0.091,0.1106,0.1382,0.1659,0.1382,0.1106,0.0829,0.0484,0.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276,0.0651,0.0829,0.1106,0.1382,0.1659,0.1382,0.1106,0.0726,0.0553,0.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392,0.0553,0.0829,0.1106,0.1382,0.1659,0.1382,0.0968,0.0829,0.0553,0.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.0276,0.0553,0.0829,0.1106,0.1382,0.1659,0.121,0.1106,0.0829,0.0553,0.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0121,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0167,0.0017,0.0276,0.0553,0.0829,0.1106,0.1382,0.1452,0.1382,0.1123,0.0829,0.0553,0.0104,0.0,0.0017,0.0035,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017
0.0121,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0167,0.0035,0.0,0.0276,0.0553,0.0829,0.1106,0.121,0.1659,0.1417,0.1106,0.0829,0.0207,0.0276,0.0035,0.0069,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035
0.0121,0.0,0.0,0.0,0.0,0.0052,0.0,0.0,0.0,0.0,0.0167,0.0052,0.0,0.0,0.0276,0.0553,0.0829,0.0968,0.1382,0.1711,0.1382,0.1106,0.0311,0.0553,0.0328,0.0104,0.0,0.0,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052
0.0121,0.0,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0,0.0167,0.0069,0.0,0.0,0.0,0.0276,0.0553,0.0726,0.1106,0.1452,0.1659,0.1382,0.0415,0.0829,0.0622,0.0415,0.0,0.0,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069
0.0121,0.0,0.0,0.0,0.0,0.0086,0.0,0.0,0.0,0.0,0.0167,0.0086,0.0,0.0,0.0,0.0,0.0276,0.0484,0.0829,0.1192,0.1382,0.1659,0.0518,0.1106,0.0916,0.0726,0.0276,0.0,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0086
0.0121,0.0,0.0,0.0,0.0,0.0104,0.0,0.0,0.0,0.0,0.0167,0.0104,0.0,0.0,0.0,0.0,0.0,0.0242,0.0553,0.0933,0.1106,0.1382,0.0622,0.1382,0.121,0.1037,0.0553,0.0276,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104
0.0086,0.0,0.0,0.0,0.0,0.0086,0.0,0.0,0.0,0.0,0.0133,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0276,0.0639,0.0829,0.1106,0.0518,0.1659,0.1469,0.1279,0.0829,0.0553,0.0363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0086
0.0069,0.0,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0,0.0115,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0346,0.0553,0.0829,0.0415,0.1382,0.1728,0.1521,0.1106,0.0829,0.0622,0.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069
0.0052,0.0,0.0,0.0,0.0,0.0052,0.0,0.0,0.0,0.0,0.0097,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.0276,0.0553,0.0311,0.1106,0.1434,0.1763,0.1382,0.1106,0.0881,0.0553,0.0278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052
0.0035,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0078,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0276,0.0207,0.0829,0.1141,0.1452,0.1659,0.1382,0.1141,0.0829,0.0556,0.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035
0.0017,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.006,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0104,0.0553,0.0847,0.1141,0.1382,0.1659,0.14,0.1106,0.0833,0.0553,0.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0017
0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276,0.0553,0.0829,0.1106,0.1382,0.1659,0.1382,0.1111,0.0829,0.0553,0.0242,0.0,0.0,0.0,0.0,0.0,0.0
0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276,0.0553,0.0829,0.1106,0.1382,0.1659,0.1389,0.1106,0.0829,0.0484,0.0276,0.0,0.0,0.0,0.0,0.0
